PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked
1,0,3rd Class,Male,22.0,1,0,7.25,Southampton
2,1,1st Class,Female,38.0,1,0,71.2833,Cherbourg
3,1,3rd Class,Female,26.0,0,0,7.925,Southampton
4,1,1st Class,Female,35.0,1,0,53.1,Southampton
5,0,3rd Class,Male,35.0,0,0,8.05,Southampton
6,0,3rd Class,Male,24.0,0,0,8.4583,Queenstown
7,0,1st Class,Male,54.0,0,0,51.8625,Southampton
8,0,3rd Class,Male,2.0,3,1,21.075,Southampton
9,1,3rd Class,Female,27.0,0,2,11.1333,Southampton
10,1,2nd Class,Female,14.0,1,0,30.0708,Cherbourg
11,1,3rd Class,Female,4.0,1,1,16.7,Southampton
12,1,1st Class,Female,58.0,0,0,26.55,Southampton
13,0,3rd Class,Male,20.0,0,0,8.05,Southampton
14,0,3rd Class,Male,39.0,1,5,31.275,Southampton
15,0,3rd Class,Female,14.0,0,0,7.8542,Southampton
16,1,2nd Class,Female,55.0,0,0,16.0,Southampton
17,0,3rd Class,Male,2.0,4,1,29.125,Queenstown
18,1,2nd Class,Male,24.0,0,0,13.0,Southampton
19,0,3rd Class,Female,31.0,1,0,18.0,Southampton
20,1,3rd Class,Female,24.0,0,0,7.225,Cherbourg
21,0,2nd Class,Male,35.0,0,0,26.0,Southampton
22,1,2nd Class,Male,34.0,0,0,13.0,Southampton
23,1,3rd Class,Female,15.0,0,0,8.0292,Queenstown
24,1,1st Class,Male,28.0,0,0,35.5,Southampton
25,0,3rd Class,Female,8.0,3,1,21.075,Southampton
26,1,3rd Class,Female,38.0,1,5,31.3875,Southampton
27,0,3rd Class,Male,24.0,0,0,7.225,Cherbourg
28,0,1st Class,Male,19.0,3,2,263.0,Southampton
29,1,3rd Class,Female,24.0,0,0,7.8792,Queenstown
30,0,3rd Class,Male,24.0,0,0,7.8958,Southampton
31,0,1st Class,Male,40.0,0,0,27.7208,Cherbourg
32,1,1st Class,Female,24.0,1,0,146.5208,Cherbourg
33,1,3rd Class,Female,24.0,0,0,7.75,Queenstown
34,0,2nd Class,Male,66.0,0,0,10.5,Southampton
35,0,1st Class,Male,28.0,1,0,82.1708,Cherbourg
36,0,1st Class,Male,42.0,1,0,52.0,Southampton
37,1,3rd Class,Male,24.0,0,0,7.2292,Cherbourg
38,0,3rd Class,Male,21.0,0,0,8.05,Southampton
39,0,3rd Class,Female,18.0,2,0,18.0,Southampton
40,1,3rd Class,Female,14.0,1,0,11.2417,Cherbourg
41,0,3rd Class,Female,40.0,1,0,9.475,Southampton
42,0,2nd Class,Female,27.0,1,0,21.0,Southampton
43,0,3rd Class,Male,24.0,0,0,7.8958,Cherbourg
44,1,2nd Class,Female,3.0,1,2,41.5792,Cherbourg
45,1,3rd Class,Female,19.0,0,0,7.8792,Queenstown
46,0,3rd Class,Male,24.0,0,0,8.05,Southampton
47,0,3rd Class,Male,24.0,1,0,15.5,Queenstown
48,1,3rd Class,Female,24.0,0,0,7.75,Queenstown
49,0,3rd Class,Male,24.0,2,0,21.6792,Cherbourg
50,0,3rd Class,Female,18.0,1,0,17.8,Southampton
